Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	Gene Ontology IDs	Subcellular location [CC]
P65925	reviewed	PYRG_STRP1	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG SPy_1894 M5005_Spy1610 M5005_Spy1609	Streptococcus pyogenes serotype M1	534	SPy_1894 M5005_Spy1610	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; CTP from UDP: step 2/2. {ECO:0000255|HAMAP-Rule:MF_01227}.	GO:0003883; GO:0004359; GO:0005524; GO:0005829; GO:0006541; GO:0019856; GO:0042802; GO:0044210; GO:0046872; GO:0097268	NA
P68898	reviewed	HPRK_STRP1	HPr kinase/phosphorylase (HPrK/P) (EC 2.7.11.-) (EC 2.7.4.-) (HPr(Ser) kinase/phosphorylase)	hprK ptsK SPy_0584 M5005_Spy0484	Streptococcus pyogenes serotype M1	310	SPy_0584 M5005_Spy0484	NA	GO:0000155; GO:0000287; GO:0004674; GO:0004712; GO:0005524; GO:0005829; GO:0006109	NA
P69882	reviewed	KAD_STRP1	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk SPy_0074 M5005_Spy0065	Streptococcus pyogenes serotype M1	212	SPy_0074 M5005_Spy0065	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00235}.	GO:0004017; GO:0004127; GO:0004550; GO:0005524; GO:0005829; GO:0006225; GO:0016310; GO:0033862; GO:0044209; GO:0046705	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00235}.
P69883	reviewed	CH60_STRP1	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	groEL groL SPy_2070 M5005_Spy1761	Streptococcus pyogenes serotype M1	543	SPy_2070 M5005_Spy1761	NA	GO:0005524; GO:0009408; GO:0016853; GO:0032727; GO:0032729; GO:0032755; GO:0034514; GO:0042026; GO:0045041; GO:0050870; GO:0051082; GO:0051085; GO:0051087; GO:0140662; GO:1990220	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.
P69949	reviewed	ENO_STRP1	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno SPy_0731 M5005_Spy0556	Streptococcus pyogenes serotype M1	435	SPy_0731 M5005_Spy0556	PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 4/5. {ECO:0000255|HAMAP-Rule:MF_00318}.	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009274; GO:0009986	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface. {ECO:0000255|HAMAP-Rule:MF_00318}.
Q99XR4	reviewed	GLFT_STRP1	Glutamate formimidoyltransferase (EC 2.1.2.5) (5-formyltetrahydrofolate cyclo-ligase) (EC 6.3.3.2) (Glutamate formiminotransferase) (Glutamate formyltransferase)	M5005_Spy1772 SPy_2083	Streptococcus pyogenes serotype M1	299	M5005_Spy1772 SPy_2083	PATHWAY: Amino-acid degradation; L-histidine degradation into L-glutamate; L-glutamate from N-formimidoyl-L-glutamate (transferase route): step 1/1.; PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.	GO:0005542; GO:0005737; GO:0019556; GO:0019557; GO:0030272; GO:0030409; GO:0035999	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q99YM9	unreviewed	Q99YM9_STRP1	protein-serine/threonine phosphatase (EC 3.1.3.16)	pppL SPy_1626	Streptococcus pyogenes serotype M1	246	SPy_1626	NA	GO:0000918; GO:0004721; GO:0004722; GO:0005829; GO:0032873; GO:0035970; GO:0043123; GO:0043124; GO:0045717; GO:0052151; GO:0075294; GO:0090263	NA
Q99YT1	reviewed	MSRAB_STRP1	Peptide methionine sulfoxide reductase MsrA/MsrB [Includes: Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase); Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)]	msrAB msrA SPy_1557 M5005_Spy1282	Streptococcus pyogenes serotype M1	309	SPy_1557 M5005_Spy1282	NA	GO:0005737; GO:0006979; GO:0008113; GO:0030091; GO:0033743; GO:0033744; GO:0036211	NA
Q99YU5	reviewed	RLMN_STRP1	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN SPy_1533 M5005_Spy1261	Streptococcus pyogenes serotype M1	359	SPy_1533 M5005_Spy1261	NA	GO:0000049; GO:0002935; GO:0005737; GO:0019843; GO:0030488; GO:0046872; GO:0051539; GO:0070040; GO:0070475	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01849}.
Q99ZD0	reviewed	PFKA_STRP1	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA pfk SPy_1283 M5005_Spy0989	Streptococcus pyogenes serotype M1	337	SPy_1283 M5005_Spy0989	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. {ECO:0000255|HAMAP-Rule:MF_00339}.	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016020; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0061621; GO:0070095	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00339}.
Q99ZP1	reviewed	GLYA_STRP1	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA SPy_1145 M5005_Spy0867	Streptococcus pyogenes serotype M1	418	SPy_1145 M5005_Spy0867	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000255|HAMAP-Rule:MF_00051}.; PATHWAY: Amino-acid biosynthesis; glycine biosynthesis; glycine from L-serine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00051}.	GO:0004372; GO:0005829; GO:0006565; GO:0008270; GO:0019264; GO:0030170; GO:0035999; GO:0046655; GO:0050897; GO:0070905	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00051}.
Q99ZR0	reviewed	KPRS2_STRP1	Putative ribose-phosphate pyrophosphokinase 2 (RPPK 2) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase 2) (Phosphoribosyl diphosphate synthase 2) (Phosphoribosyl pyrophosphate synthase 2) (P-Rib-PP synthase 2) (PRPP synthase 2) (PRPPase 2)	prs2 SPy_1123 M5005_Spy0845	Streptococcus pyogenes serotype M1	326	SPy_1123 M5005_Spy0845	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009156; GO:0016301; GO:0016310	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00583}.
Q9A0C6	reviewed	CARB_STRP1	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB SPy_0835 M5005_Spy0643	Streptococcus pyogenes serotype M1	1058	SPy_0835 M5005_Spy0643	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01210}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01210}.	GO:0004070; GO:0004087; GO:0004088; GO:0004151; GO:0005524; GO:0005829; GO:0006207; GO:0006228; GO:0006526; GO:0006541; GO:0019240; GO:0044205; GO:0046872	NA
Q9A0H3	reviewed	ADDA_STRP1	ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 5.6.2.4) (ATP-dependent helicase/nuclease AddA) (DNA 3'-5' helicase AddA)	addA rexA SPy_0777 M5005_Spy0595	Streptococcus pyogenes serotype M1	1222	SPy_0777 M5005_Spy0595	NA	GO:0000724; GO:0003690; GO:0005524; GO:0005829; GO:0008408; GO:0016853; GO:0016887; GO:0033202; GO:0043138	NA
Q9A0T3	reviewed	UCDH_STRP1	Unsaturated chondroitin disaccharide hydrolase (EC 3.2.1.180) (Unsaturated glucuronyl hydrolase) (SpyUGL)	ugl SPy_0632 M5005_Spy0522	Streptococcus pyogenes serotype M1	399	SPy_0632 M5005_Spy0522	NA	GO:0000272; GO:0052757; GO:0102212	NA
Q9A163	reviewed	GLMU_STRP1	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU SPy_0443 M5005_Spy0362	Streptococcus pyogenes serotype M1	460	SPy_0443 M5005_Spy0362	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01631}.	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0019134; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01631}.
Q9A196	reviewed	MURE_STRP1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7) (L-lysine-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:L-Lys ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE SPy_0388 M5005_Spy0325	Streptococcus pyogenes serotype M1	481	SPy_0388 M5005_Spy0325	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.	GO:0000287; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0009252; GO:0047482; GO:0051301; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q9A1B6	reviewed	IXTPA_STRP1	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	SPy_0362 M5005_Spy0304	Streptococcus pyogenes serotype M1	328	SPy_0362 M5005_Spy0304	NA	GO:0000166; GO:0005829; GO:0009117; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872	NA
P0A2V6	reviewed	OPPF_STRP1	Oligopeptide transport ATP-binding protein OppF (EC 7.4.2.6)	oppF SPy_0297 M5005_Spy0253	Streptococcus pyogenes serotype M1	307	SPy_0297 M5005_Spy0253	NA	GO:0005524; GO:0005886; GO:0015031; GO:0015833; GO:0016887	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P24137}; Peripheral membrane protein {ECO:0000250|UniProtKB:P24137}.
P0C095	reviewed	RECA_STRP1	Protein RecA (Recombinase A)	recA SPy_2116 M5005_Spy1799	Streptococcus pyogenes serotype M1	378	SPy_2116 M5005_Spy1799	NA	GO:0003684; GO:0003697; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0009432; GO:0016887; GO:0140664	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00268}.
P0C0B4	reviewed	ARCA_STRP1	Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD) (Streptococcal acid glycoprotein)	arcA sagP SPy_1547 M5005_Spy1275	Streptococcus pyogenes serotype M1	411	SPy_1547 M5005_Spy1275	PATHWAY: Amino-acid degradation; L-arginine degradation via ADI pathway; carbamoyl phosphate from L-arginine: step 1/2.	GO:0005737; GO:0016990; GO:0019546; GO:0019547	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0C0B6	reviewed	DNAJ_STRP1	Chaperone protein DnaJ	dnaJ SPy_1759 M5005_Spy1497	Streptococcus pyogenes serotype M1	378	SPy_1759 M5005_Spy1497	NA	GO:0005524; GO:0005737; GO:0006260; GO:0008270; GO:0009408; GO:0031072; GO:0042026; GO:0051082; GO:0051085	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01152}.
P0C0B9	reviewed	ERA_STRP1	GTPase Era	era SPy_0476 M5005_Spy0390	Streptococcus pyogenes serotype M1	298	SPy_0476 M5005_Spy0390	NA	GO:0000028; GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0043024; GO:0070181	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane {ECO:0000255|HAMAP-Rule:MF_00367}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00367}.
P0C0C2	reviewed	GCH1_STRP1	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE SPy_1097 M5005_Spy0821	Streptococcus pyogenes serotype M1	194	SPy_1097 M5005_Spy0821	PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1.	GO:0003934; GO:0005525; GO:0005737; GO:0006729; GO:0006730; GO:0008270; GO:0046654	NA
P0C0C6	reviewed	DNAK_STRP1	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK SPy_1760 M5005_Spy1498	Streptococcus pyogenes serotype M1	608	SPy_1760 M5005_Spy1498	NA	GO:0005524; GO:0051082; GO:0140662	NA
P0C0D0	reviewed	OTCC_STRP1	Ornithine carbamoyltransferase, catabolic (OTCase) (EC 2.1.3.3)	arcB SPy_1544 M5005_Spy1273	Streptococcus pyogenes serotype M1	337	SPy_1544 M5005_Spy1273	PATHWAY: Amino-acid degradation; L-arginine degradation via ADI pathway; carbamoyl phosphate from L-arginine: step 2/2.	GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0019546; GO:0019547; GO:0042450	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P0C0D8	reviewed	MURD_STRP1	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD SPy_1525 M5005_Spy1253	Streptococcus pyogenes serotype M1	452	SPy_1525 M5005_Spy1253	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P0C0E0	reviewed	RPOC_STRP1	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC SPy_0099 M5005_Spy0084	Streptococcus pyogenes serotype M1	1213	SPy_0099 M5005_Spy0084	NA	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270	NA
P0C0E1	reviewed	TIG_STRP1	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig ropA SPy_1896 M5005_Spy1612	Streptococcus pyogenes serotype M1	427	SPy_1896 M5005_Spy1612	NA	GO:0003755; GO:0005737; GO:0007049; GO:0015031; GO:0043022; GO:0043335; GO:0044183; GO:0051083; GO:0051301; GO:0061077	SUBCELLULAR LOCATION: Cytoplasm. Note=About half TF is bound to the ribosome near the polypeptide exit tunnel while the other half is free in the cytoplasm. {ECO:0000250}.
P0C0E8	reviewed	ECFA1_STRP1	Energy-coupling factor transporter ATP-binding protein EcfA1 (ECF transporter A component EcfA1) (EC 7.-.-.-)	ecfA1 cbiO1 SPy_2195 M5005_Spy1846	Streptococcus pyogenes serotype M1	279	SPy_2195 M5005_Spy1846	NA	GO:0005524; GO:0016887; GO:0042626; GO:0043190	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01710}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01710}.
P0C0G1	reviewed	DHPS_STRP1	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP SPy_1098 M5005_Spy0822	Streptococcus pyogenes serotype M1	266	SPy_1098 M5005_Spy0822	PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 7,8-dihydrofolate from 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate and 4-aminobenzoate: step 1/2.	GO:0004156; GO:0005829; GO:0046654; GO:0046656; GO:0046872	NA
P0C0G3	reviewed	HPPK_STRP1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	folK SPy_1100 M5005_Spy0824	Streptococcus pyogenes serotype M1	166	SPy_1100 M5005_Spy0824	PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 4/4. {ECO:0000250|UniProtKB:P26281}.	GO:0003848; GO:0005524; GO:0016301; GO:0016310; GO:0046654; GO:0046656	NA
P0C0G5	reviewed	FOLB_STRP1	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)	folB folQ SPy_1099 M5005_Spy0823	Streptococcus pyogenes serotype M1	119	SPy_1099 M5005_Spy0823	PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 3/4.	GO:0004150; GO:0005737; GO:0046654; GO:0046656	NA
P0C0H1	reviewed	HASA_STRP1	Hyaluronan synthase (EC 2.4.1.212) (Hyaluronate synthase) (Hyaluronic acid synthase) (HA synthase)	hasA SPy_2200 M5005_Spy1851	Streptococcus pyogenes serotype M1	419	SPy_2200 M5005_Spy1851	PATHWAY: Glycan biosynthesis; hyaluronan biosynthesis.	GO:0005886; GO:0030213; GO:0045226; GO:0050501; GO:0085029	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P0C0H7	reviewed	IMDH_STRP1	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	guaB SPy_2206 M5005_Spy1857	Streptococcus pyogenes serotype M1	493	SPy_2206 M5005_Spy1857	PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01964}.	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0046872	NA
P0C0I1	reviewed	SODM_STRP1	Superoxide dismutase [Mn] (EC 1.15.1.1)	sodA sod SPy_1406 M5005_Spy1145	Streptococcus pyogenes serotype M1	201	SPy_1406 M5005_Spy1145	NA	GO:0004784; GO:0005576; GO:0046872	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
P0C0I3	reviewed	TACY_STRP1	Streptolysin O (SLO) (Thiol-activated cytolysin)	slo SPy_0167 M5005_Spy0141	Streptococcus pyogenes serotype M1	571	SPy_0167 M5005_Spy0141	NA	GO:0005576; GO:0015485; GO:0016020; GO:0020002; GO:0031640; GO:0090729	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0C2J9}. Host cell membrane {ECO:0000250|UniProtKB:P13128}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q04IN8}. Note=Probably secreted as soluble protein by the accessory Sec system (By similarity). It then inserts into the host cell membrane and forms pores formed by transmembrane beta-strands (By similarity). {ECO:0000250|UniProtKB:P0C2J9, ECO:0000250|UniProtKB:Q04IN8}.
P58075	reviewed	MNMA_STRP1	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA trmU SPy_2188 M5005_Spy1840	Streptococcus pyogenes serotype M1	373	SPy_2188 M5005_Spy1840	NA	GO:0000049; GO:0002143; GO:0005524; GO:0005737; GO:0016783	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00144}.
